feature,importance,model
numeric__euribor3m,0.31014923589383825,Gradient Boosting
categorical__month_may,0.054836850682319215,Gradient Boosting
categorical__day_of_week_fri,0.05386081585006629,Gradient Boosting
categorical__job_admin.,0.049434537939266394,Gradient Boosting
categorical__day_of_week_wed,0.04405579075411521,Gradient Boosting
categorical__education_university.degree,0.041475147300037346,Gradient Boosting
categorical__housing_no,0.04063487586364423,Gradient Boosting
categorical__day_of_week_mon,0.03283473365471191,Gradient Boosting
categorical__day_of_week_thu,0.03173155445639147,Gradient Boosting
categorical__contact_cellular,0.028676984423867756,Gradient Boosting
numeric__campaign,0.028582003006582823,Gradient Boosting
categorical__education_high.school,0.02557771969043329,Gradient Boosting
categorical__contact_telephone,0.0255043739041554,Gradient Boosting
categorical__default_no,0.024222575826530132,Gradient Boosting
categorical__day_of_week_tue,0.022474213185392472,Gradient Boosting
categorical__loan_no,0.02200449669626663,Gradient Boosting
categorical__job_technician,0.01946134209611144,Gradient Boosting
categorical__job_blue-collar,0.018686713833940938,Gradient Boosting
categorical__poutcome_failure,0.014897465338451163,Gradient Boosting
categorical__education_basic.9y,0.013249790260247701,Gradient Boosting
numeric__cons.conf.idx,0.013121576268055725,Gradient Boosting
categorical__education_professional.course,0.010439660937802717,Gradient Boosting
categorical__marital_divorced,0.010235025189941653,Gradient Boosting
categorical__housing_yes,0.009817126955263735,Gradient Boosting
categorical__month_apr,0.008030447069452345,Gradient Boosting
categorical__month_oct,0.007939646948248748,Gradient Boosting
categorical__default_unknown,0.00654972034292616,Gradient Boosting
categorical__poutcome_success,0.005647498476569047,Gradient Boosting
numeric__pdays,0.0055852580758558685,Gradient Boosting
categorical__job_services,0.005408604204034011,Gradient Boosting
categorical__marital_single,0.004181127729997286,Gradient Boosting
categorical__education_basic.6y,0.00222062559375157,Gradient Boosting
categorical__poutcome_nonexistent,0.002114318217496656,Gradient Boosting
numeric__previous,0.0013974935335093394,Gradient Boosting
categorical__marital_married,0.0012298086593088035,Gradient Boosting
categorical__job_student,0.0008686167857435911,Gradient Boosting
numeric__age,0.0006920931163364397,Gradient Boosting
numeric__cons.price.idx,0.0005599581174356474,Gradient Boosting
categorical__month_mar,0.0004879098435075202,Gradient Boosting
categorical__month_nov,0.00033623362213295986,Gradient Boosting
categorical__job_retired,0.00024092160815780952,Gradient Boosting
categorical__month_jun,0.00020579339167513488,Gradient Boosting
categorical__education_unknown,0.00017942381978325344,Gradient Boosting
categorical__job_entrepreneur,8.95561452176175e-05,Gradient Boosting
categorical__job_unknown,7.033469142621614e-05,Gradient Boosting
categorical__education_illiterate,0.0,Gradient Boosting
categorical__marital_unknown,0.0,Gradient Boosting
categorical__education_basic.4y,0.0,Gradient Boosting
categorical__job_housemaid,0.0,Gradient Boosting
categorical__job_management,0.0,Gradient Boosting
categorical__job_self-employed,0.0,Gradient Boosting
categorical__job_unemployed,0.0,Gradient Boosting
categorical__default_yes,0.0,Gradient Boosting
categorical__month_aug,0.0,Gradient Boosting
categorical__month_dec,0.0,Gradient Boosting
categorical__loan_yes,0.0,Gradient Boosting
categorical__loan_unknown,0.0,Gradient Boosting
categorical__housing_unknown,0.0,Gradient Boosting
categorical__month_jul,0.0,Gradient Boosting
categorical__month_sep,0.0,Gradient Boosting
