feature,importance,model
numeric__euribor3m,0.20740990192373526,Random Forest
categorical__contact_cellular,0.088974863106046,Random Forest
categorical__contact_telephone,0.08416306796051724,Random Forest
numeric__cons.conf.idx,0.06519941375802074,Random Forest
categorical__poutcome_success,0.06336106327278476,Random Forest
numeric__pdays,0.051913711661504394,Random Forest
categorical__default_no,0.04080789420431908,Random Forest
categorical__default_unknown,0.037760561194734005,Random Forest
numeric__cons.price.idx,0.034031819185268215,Random Forest
categorical__poutcome_nonexistent,0.0284337628370208,Random Forest
numeric__previous,0.025517524023772328,Random Forest
categorical__month_may,0.022167403806680502,Random Forest
categorical__job_blue-collar,0.02180986966179488,Random Forest
categorical__day_of_week_mon,0.019555799021138857,Random Forest
categorical__education_basic.9y,0.019176712191314896,Random Forest
categorical__education_university.degree,0.018671695196748418,Random Forest
categorical__job_admin.,0.0153817765232757,Random Forest
categorical__poutcome_failure,0.014863039558884348,Random Forest
categorical__day_of_week_tue,0.01269858905104142,Random Forest
categorical__job_technician,0.010458133530574214,Random Forest
categorical__housing_no,0.009913020725895913,Random Forest
numeric__campaign,0.009653735853469913,Random Forest
categorical__education_high.school,0.00964776329191935,Random Forest
categorical__day_of_week_fri,0.009253202402574654,Random Forest
categorical__day_of_week_wed,0.007089422060886475,Random Forest
categorical__day_of_week_thu,0.006322835380612134,Random Forest
categorical__housing_yes,0.006265203522607459,Random Forest
categorical__loan_no,0.005997905182106324,Random Forest
categorical__month_oct,0.004952320905234986,Random Forest
categorical__marital_single,0.004732006783721619,Random Forest
categorical__education_professional.course,0.004509884542887288,Random Forest
categorical__month_jun,0.004260526767201191,Random Forest
categorical__month_apr,0.004093138321901179,Random Forest
categorical__marital_married,0.0037321593568432495,Random Forest
categorical__job_services,0.0036949334088127667,Random Forest
categorical__loan_yes,0.0029231738949078143,Random Forest
categorical__job_retired,0.0025470516502863077,Random Forest
categorical__month_sep,0.00246167220776819,Random Forest
numeric__age,0.0022646059632645,Random Forest
categorical__month_aug,0.0022171601790721414,Random Forest
categorical__month_mar,0.0019209825760128916,Random Forest
categorical__month_jul,0.0014661572491321154,Random Forest
categorical__marital_divorced,0.001369325888717717,Random Forest
categorical__education_basic.4y,0.001339730464910781,Random Forest
categorical__education_basic.6y,0.0013259508242448117,Random Forest
categorical__job_management,0.0012611352074048169,Random Forest
categorical__job_student,0.0005901403878135816,Random Forest
categorical__month_nov,0.0005596107464319227,Random Forest
categorical__job_entrepreneur,0.0004889605864340876,Random Forest
categorical__education_unknown,0.00021980822834578165,Random Forest
categorical__job_unemployed,0.00014010412237072496,Random Forest
categorical__job_unknown,0.0001106705661055138,Random Forest
categorical__job_self-employed,7.92216349645773e-05,Random Forest
categorical__job_housemaid,6.619933806886719e-05,Random Forest
categorical__loan_unknown,6.260703099796554e-05,Random Forest
categorical__housing_unknown,5.268923433178682e-05,Random Forest
categorical__month_dec,3.592722984751371e-05,Random Forest
categorical__education_illiterate,1.878984278035007e-05,Random Forest
categorical__default_yes,2.209871638987486e-06,Random Forest
categorical__marital_unknown,1.4548982957095153e-06,Random Forest
