accuracy,precision,recall,f1_yes,f2_yes,roc_auc,pr_auc,label,n_features,features,model
0.8149587178241865,0.34137686302342085,0.6910919540229885,0.45700712589073633,0.5735750059623181,0.808567134741332,0.4441320629915628,Svi atributi,17,"job, marital, education, default, housing, loan, contact, month, day_of_week, poutcome, age, campaign, pdays, previous, cons.price.idx, cons.conf.idx, euribor3m",Logistic Regression
0.7733527602395985,0.29318448883666276,0.7169540229885057,0.41618015012510423,0.5561747659384753,0.8063456412643887,0.4438395053741814,Top 5,5,"job, contact, month, poutcome, euribor3m",Logistic Regression
0.7901894123360855,0.3106060606060606,0.7068965517241379,0.43157894736842106,0.5631868131868132,0.808932687004427,0.43875010140621046,Top 10,10,"job, marital, education, default, contact, month, day_of_week, poutcome, previous, euribor3m",Logistic Regression
0.8136635907398413,0.34035087719298246,0.6968390804597702,0.45733144743045734,0.5761463530529817,0.8107124769580181,0.4424885610515279,Top 15,15,"job, marital, education, default, housing, loan, contact, month, day_of_week, poutcome, campaign, previous, cons.price.idx, cons.conf.idx, euribor3m",Logistic Regression
0.8871620527764287,0.4993514915693904,0.5531609195402298,0.5248807089297887,0.5414908579465542,0.7826681042346916,0.4218470177522779,Svi atributi,17,"job, marital, education, default, housing, loan, contact, month, day_of_week, poutcome, age, campaign, pdays, previous, cons.price.idx, cons.conf.idx, euribor3m",Decision Tree
0.8261291889266634,0.35257410296411856,0.6494252873563219,0.4570273003033367,0.5558288243974422,0.8097783460942399,0.4312361424760561,Top 5,5,"contact, month, day_of_week, poutcome, euribor3m",Decision Tree
0.8633640926015865,0.42386831275720166,0.5919540229885057,0.4940047961630695,0.5484558040468583,0.8080965959731319,0.43571061335438743,Top 10,10,"job, education, contact, month, day_of_week, poutcome, campaign, pdays, previous, euribor3m",Decision Tree
0.8531649668123684,0.39626352015732547,0.5790229885057471,0.4705195563339171,0.530123651670613,0.7751337168945175,0.38533408670434605,Top 15,15,"job, marital, education, default, housing, loan, contact, month, day_of_week, poutcome, age, campaign, pdays, previous, euribor3m",Decision Tree
0.8546219847822567,0.4050751879699248,0.6192528735632183,0.48977272727272725,0.560031185031185,0.8051407212376296,0.4505338118935443,Svi atributi,17,"job, marital, education, default, housing, loan, contact, month, day_of_week, poutcome, age, campaign, pdays, previous, cons.price.idx, cons.conf.idx, euribor3m",Random Forest
0.7846851222276185,0.304320987654321,0.7083333333333334,0.42573402417962003,0.5597184377838329,0.8124532082617695,0.44329632731840896,Top 5,5,"contact, poutcome, pdays, cons.conf.idx, euribor3m",Random Forest
0.8309859154929577,0.36384976525821594,0.6681034482758621,0.47112462006079026,0.5723781388478582,0.8139429418660493,0.445769628738482,Top 10,10,"job, default, contact, month, poutcome, pdays, previous, cons.price.idx, cons.conf.idx, euribor3m",Random Forest
0.8434515136797798,0.3848768054375531,0.6508620689655172,0.48371596369460756,0.571825296642262,0.8119251300731681,0.4572522381646122,Top 15,15,"job, education, default, housing, loan, contact, month, day_of_week, poutcome, campaign, pdays, previous, cons.price.idx, cons.conf.idx, euribor3m",Random Forest
0.8889428525174032,0.5075528700906344,0.4827586206896552,0.4948453608247423,0.4875217643644806,0.8095298387113685,0.4536283295382409,Svi atributi,17,"job, marital, education, default, housing, loan, contact, month, day_of_week, poutcome, age, campaign, pdays, previous, cons.price.idx, cons.conf.idx, euribor3m",Gradient Boosting
0.8474987858183585,0.39172535211267606,0.639367816091954,0.48580786026200873,0.5676020408163265,0.8068080537363137,0.4055346080702169,Top 5,5,"job, education, month, day_of_week, euribor3m",Gradient Boosting
0.8735632183908046,0.4539544962080173,0.6020114942528736,0.5176034589252625,0.5651470191529538,0.8091937770395955,0.40776870299356727,Top 10,10,"job, education, default, housing, loan, contact, month, day_of_week, campaign, euribor3m",Gradient Boosting
0.8746964545896067,0.4554794520547945,0.5732758620689655,0.5076335877862596,0.5450819672131147,0.8110603348663198,0.455808796964206,Top 15,15,"job, marital, education, default, housing, loan, contact, month, day_of_week, poutcome, campaign, pdays, previous, cons.conf.idx, euribor3m",Gradient Boosting
