learning_rate,max_depth,n_estimators,scale_pos_weight,subsample,mean_test_score,std_test_score,rank_test_score
0.1,5,200,7.57,0.8,0.6433358111755372,0.005449931558257067,1
0.1,5,200,7.57,1.0,0.6422017005995249,0.00407574767939781,2
0.05,5,200,7.57,0.8,0.5971545098883349,0.0035773704969095125,3
0.1,5,100,7.57,0.8,0.5960556745712392,0.0028855067435597523,4
0.1,5,100,7.57,1.0,0.5930023138603125,0.0018052114044899074,5
0.05,5,200,7.57,1.0,0.591804618889807,0.003296075314796603,6
0.1,3,200,7.57,0.8,0.585679274164223,0.0017831445167068246,7
0.1,3,200,7.57,1.0,0.5841426890717448,0.006112960179307632,8
0.05,5,100,7.57,0.8,0.48778802701792506,0.006730844143970307,9
0.05,5,100,7.57,1.0,0.4848162259941596,0.004660297432350387,10
